StationId,PositionName,Area,UniqueCode,StationCode,StationPic,Longitude,Latitude,StationTypeId
3268,墟沟核电专家村(停运161021),连云港市,320700051,1175A,,119.368,34.7507,1
3271,黄河新村,徐州市,320300051,1177A,,117.167,34.2761,1
3236,铜山兽医院(停运161026),徐州市,320300056,1179A,,117.192,34.3083,1
3198,新城区,徐州市,320300058,1180A,,117.256,34.2153,1
3199,桃园路,徐州市,320300059,1181A,,117.2458,34.2908,1
3200,农科院,徐州市,320300061,1182A,,117.2933,34.2778,1
3201,铜山区环保局(停运161026),徐州市,320300083,1183A,,117.166,34.1806,1
3202,城东财政所(停运180626),扬州市,321000407,1184A,,119.46,32.3878,1
3203,市监测站(181220停用),扬州市,321000404,1185A,,119.404,32.41,1
3204,邗江监测站,扬州市,321000408,1186A,,119.389,32.3761,1
3205,黄巷,无锡市,320200110,1189A,,120.275,31.6219,1
3206,曹张,无锡市,320200103,1190A,,120.294,31.56,1
3207,漆塘,无锡市,320200108,1191A,,120.242,31.5031,1
3208,东亭,无锡市,320200107,1192A,,120.354,31.5848,1
3209,旺庄,无锡市,320200104,1193A,,120.354,31.5475,1
3210,荣巷,无锡市,320200102,1194A,,120.245,31.5631,1
3211,堰桥,无锡市,320200109,1195A,,120.288,31.6842,1
3212,市监测站,常州市,320400101,1196A,,119.996,31.7586,1
3213,城建学校(停运161026),常州市,320400102,1197A,,119.933,31.7786,1
3214,常工院(停运161026),常州市,320400103,1198A,,119.962,31.8089,1
3215,潞城(停运161026),常州市,320400106,1199A,,120.0393,31.7638,1
3216,武进监测站,常州市,320400104,1200A,,119.935,31.7039,1
3217,环境监测站（已停运）,镇江市,321100407,1202A,,119.429,32.2056,1
3218,新区办事处,镇江市,321100413,1203A,,119.68,32.1883,1
3219,职教中心,镇江市,321100412,1204A,,119.491,32.215,1
3220,公园路,泰州市,321200405,1206A,,119.905,32.4878,1
3221,莲花,泰州市,321200406,1207A,,119.9192,32.46278,1
3222,高港区政府(停运161024),泰州市,321200407,1208A,,119.882,32.303,1
3228,钵池山,淮安市,320800401,1210A,,119.036,33.5981,1
3229,北京南路,淮安市,320800402,1211A,,119.007,33.575,1
3223,楚州区监测站,淮安市,320800413,1213A,,119.135,33.5039,1
3224,淮阴区监测站,淮安市,320800412,1214A,,119.0186,33.6297,1
3225,盐城电厂,盐城市,320900401,1215A,,120.118,33.4022,1
3226,市监测站,盐城市,320900402,1216A,,120.156,33.3942,1
3227,文峰中学(停运161025),盐城市,320900403,1217A,,120.129,33.3719,1
3230,市监测站(停运161107),宿迁市,321300401,1219A,,118.2658,33.96,1
