城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
370100,济南,370000,"全国,京津冀及周边,冬奥44城市",117.18318,36.58718667
370200,青岛,370000,"全国,京津冀及周边",120.34225,36.11089
370300,淄博,370000,"全国,京津冀及周边,冬奥44城市",118.006,36.74718571
370400,枣庄,370000,"全国,京津冀及周边,冬奥44城市",117.4871667,34.81155
370500,东营,370000,"全国,京津冀及周边,冬奥44城市",118.5509857,37.49112857
370600,烟台,370000,"全国,京津冀及周边",121.3957286,37.49495714
370700,潍坊,370000,"全国,京津冀及周边,冬奥44城市",119.15555,36.70843333
370800,济宁,370000,"全国,京津冀及周边,冬奥44城市",116.63508,35.4427
370900,泰安,370000,"全国,京津冀及周边,冬奥44城市",117.09106,36.1806
371000,威海,370000,"全国,京津冀及周边",122.1042,37.44895
371100,日照,370000,"全国,京津冀及周边",119.48242,35.36276
371300,临沂,370000,"全国,京津冀及周边,冬奥44城市",118.3467714,35.0508
371400,德州,370000,"全国,京津冀及周边,冬奥44城市",116.3616,37.422
371500,聊城,370000,"全国,京津冀及周边,冬奥44城市",116.0084833,36.45873333
371600,滨州,370000,"全国,京津冀及周边,冬奥44城市",117.99215,37.42998333
371700,菏泽,370000,"全国,京津冀及周边,冬奥44城市",115.480525,35.2109
210800,营口,210000,"全国,东北区域",122.2297667,40.59835
211000,辽阳,210000,"全国,东北区域",123.188175,41.25195
